Date,Apple
1999-09-03,2.2993
1999-09-07,2.3891
1999-09-08,2.3306
1999-09-09,2.3638
1999-09-10,2.4226
1999-09-13,2.3462
1999-09-14,2.4341
1999-09-15,2.3578
1999-09-16,2.4029
1999-09-17,2.4069
1999-09-20,2.4732
1999-09-21,2.1664
1999-09-22,2.1995
1999-09-23,1.9805
1999-09-24,2.0315
1999-09-27,1.918
1999-09-28,1.8654
1999-09-29,1.8476
1999-09-30,1.9805
1999-10-01,1.9308
1999-10-04,2.0196
1999-10-05,2.1254
1999-10-06,2.1019
1999-10-07,2.0763
1999-10-08,2.0509
1999-10-11,2.0863
1999-10-12,2.1176
1999-10-13,2.0031
1999-10-14,2.2896
1999-10-15,2.3325
1999-10-18,2.2915
1999-10-19,2.1429
1999-10-20,2.35
1999-10-21,2.3813
1999-10-22,2.3131
1999-10-25,2.3306
1999-10-26,2.3481
1999-10-27,2.3891
1999-10-28,2.436
1999-10-29,2.5064
1999-11-01,2.4282
1999-11-02,2.5105
1999-11-03,2.5496
1999-11-04,2.6159
1999-11-05,2.7626
1999-11-08,3.0148
1999-11-09,2.8036
1999-11-10,2.8605
1999-11-11,2.8859
1999-11-12,2.8349
1999-11-15,2.798
1999-11-16,2.8527
1999-11-17,2.8233
1999-11-18,2.8036
1999-11-19,2.8918
1999-11-22,2.8349
1999-11-23,2.9034
1999-11-24,2.9622
1999-11-26,2.9738
1999-11-29,2.9581
1999-11-30,3.0617
1999-12-01,3.224
1999-12-02,3.4471
1999-12-03,3.5976
1999-12-06,3.6289
1999-12-07,3.6855
1999-12-08,3.443
1999-12-09,3.2926
1999-12-10,3.2222
1999-12-13,3.097
1999-12-14,2.9678
1999-12-15,3.0345
1999-12-16,3.0755
1999-12-17,3.1283
1999-12-20,3.0658
1999-12-21,3.2065
1999-12-22,3.1264
1999-12-23,3.2378
1999-12-27,3.1067
1999-12-28,3.0717
1999-12-29,3.1499
1999-12-30,3.138
1999-12-31,3.2162
2000-01-03,3.5018
2000-01-04,3.2065
2000-01-05,3.2535
2000-01-06,2.9719
2000-01-07,3.1127
2000-01-10,3.0579
2000-01-11,2.9015
2000-01-12,2.7276
2000-01-13,3.0266
2000-01-14,3.1421
2000-01-18,3.2516
2000-01-19,3.3335
2000-01-20,3.5506
2000-01-21,3.4821
2000-01-24,3.3238
2000-01-25,3.5115
2000-01-26,3.4471
2000-01-27,3.4412
2000-01-28,3.179
2000-01-31,3.2456
2000-02-01,3.1361
2000-02-02,3.0911
2000-02-03,3.2319
2000-02-04,3.3786
2000-02-07,3.5682
2000-02-08,3.5935
2000-02-09,3.5231
2000-02-10,3.5506
2000-02-11,3.402
2000-02-14,3.6229
2000-02-15,3.7227
2000-02-16,3.57
2000-02-17,3.5935
2000-02-18,3.4803
2000-02-22,3.5603
2000-02-23,3.6367
2000-02-24,3.6038
2000-02-25,3.4527
2000-02-28,3.5428
2000-02-29,3.5857
2000-03-01,4.0765
2000-03-02,3.8166
2000-03-03,4.0042
2000-03-06,3.932
2000-03-07,3.8438
2000-03-08,3.8166
2000-03-09,3.8244
2000-03-10,3.9339
2000-03-13,3.795
2000-03-14,3.5741
2000-03-15,3.6367
2000-03-16,3.8028
2000-03-17,3.9104
2000-03-20,3.8478
2000-03-21,4.2214
2000-03-22,4.5107
2000-03-23,4.4206
2000-03-24,4.3387
2000-03-27,4.3659
2000-03-28,4.3524
2000-03-29,4.2526
2000-03-30,3.9339
2000-03-31,4.2486
2000-04-03,4.1704
2000-04-04,3.9827
2000-04-05,4.0787
2000-04-06,3.9163
2000-04-07,4.1216
2000-04-10,3.9104
2000-04-11,3.7365
2000-04-12,3.4177
2000-04-13,3.5603
2000-04-14,3.4997
2000-04-17,3.875
2000-04-18,3.9689
2000-04-19,3.789
2000-04-20,3.7186
2000-04-24,3.7696
2000-04-25,4.0139
2000-04-26,3.795
2000-04-27,3.9651
2000-04-28,3.881
2000-05-01,3.8888
2000-05-02,3.6874
2000-05-03,3.5994
2000-05-04,3.4627
2000-05-05,3.5388
2000-05-08,3.4449
2000-05-09,3.2985
2000-05-10,3.1067
2000-05-11,3.2162
2000-05-12,3.3667
2000-05-15,3.1596
2000-05-16,3.3063
2000-05-17,3.1712
2000-05-18,3.1518
2000-05-19,2.9406
2000-05-22,2.8136
2000-05-23,2.6844
2000-05-24,2.7432
2000-05-25,2.7301
2000-05-26,2.7019
2000-05-30,2.7392
2000-05-31,2.6278
2000-06-01,2.788
2000-06-02,2.8956
2000-06-05,2.8565
2000-06-06,2.9053
2000-06-07,3.0207
2000-06-08,2.966
2000-06-09,2.9954
2000-06-12,2.8527
2000-06-13,2.9563
2000-06-14,2.8293
2000-06-15,2.8896
2000-06-16,2.8527
2000-06-19,3.0226
2000-06-20,3.1674
2000-06-21,3.4806
2000-06-22,3.3629
2000-06-23,3.2341
2000-06-26,3.3867
2000-06-27,3.2378
2000-06-28,3.4061
2000-06-29,3.2065
2000-06-30,3.2772
2000-07-03,3.3354
2000-07-05,3.2303
2000-07-06,3.2416
2000-07-07,3.4061
2000-07-10,3.5744
2000-07-11,3.5625
2000-07-12,3.6839
2000-07-13,3.535
2000-07-14,3.6095
2000-07-17,3.6482
2000-07-18,3.5819
2000-07-19,3.2966
2000-07-20,3.4493
2000-07-21,3.3511
2000-07-24,3.0464
2000-07-25,3.1321
2000-07-26,3.1321
2000-07-27,3.2535
2000-07-28,3.0226
2000-07-31,3.179
2000-08-01,3.0851
2000-08-02,2.9563
2000-08-03,3.0032
2000-08-04,2.9644
2000-08-07,2.9994
2000-08-08,2.925
2000-08-09,2.9719
2000-08-10,2.9757
2000-08-11,2.9838
2000-08-14,2.9444
2000-08-15,2.9212
2000-08-16,3.0345
2000-08-17,3.2184
2000-08-18,3.1283
2000-08-21,3.1596
2000-08-22,3.2341
2000-08-23,3.398
2000-08-24,3.5106
2000-08-25,3.5544
2000-08-28,3.6326
2000-08-29,3.7033
2000-08-30,3.7227
2000-08-31,3.8128
2000-09-01,3.9692
2000-09-05,3.9066
2000-09-06,3.6564
2000-09-07,3.8791
2000-09-08,3.6839
2000-09-11,3.6564
2000-09-12,3.6132
2000-09-13,3.6289
2000-09-14,3.5575
2000-09-15,3.4555
2000-09-18,3.7953
2000-09-19,3.7502
2000-09-20,3.8197
2000-09-21,3.5469
2000-09-22,3.2653
2000-09-25,3.3473
2000-09-26,3.2184
2000-09-27,3.062
